date,pm25,month
2020-09-10,119.0,9
2020-09-11,141.0,9
2020-09-12,117.0,9
2020-09-13,125.0,9
2020-09-14,128.0,9
2020-09-15,123.0,9
2020-09-16,123.0,9
2020-09-17,123.0,9
2020-09-18,123.0,9
2020-09-19,123.0,9
2020-09-20,123.0,9
2020-09-21,123.0,9
2020-09-22,123.0,9
2020-09-23,123.0,9
2020-09-24,123.0,9
2020-09-25,123.0,9
2020-09-26,123.0,9
2020-09-27,123.0,9
2020-09-28,123.0,9
2020-09-29,123.0,9
2020-09-30,123.0,9
2020-10-01,119.0,10
2020-10-02,119.0,10
2020-10-03,119.0,10
2020-10-04,119.0,10
2020-10-05,119.0,10
2020-10-06,119.0,10
2020-10-07,119.0,10
2020-10-08,119.0,10
2020-10-09,119.0,10
2020-10-10,110.0,10
2020-10-11,109.0,10
2020-10-12,113.0,10
2020-10-13,123.0,10
2020-10-14,129.0,10
2020-10-15,98.0,10
2020-10-16,98.0,10
2020-10-17,98.0,10
2020-10-18,98.0,10
2020-10-19,98.0,10
2020-10-20,98.0,10
2020-10-21,119.0,10
2020-10-22,119.0,10
2020-10-23,119.0,10
2020-10-24,119.0,10
2020-10-25,119.0,10
2020-10-26,119.0,10
2020-10-27,119.0,10
2020-10-28,119.0,10
2020-10-29,119.0,10
2020-10-30,119.0,10
2020-10-31,119.0,10
2020-11-01,103.0,11
2020-11-02,103.0,11
2020-11-03,103.0,11
2020-11-04,103.0,11
2020-11-05,103.0,11
2020-11-06,103.0,11
2020-11-07,103.0,11
2020-11-08,103.0,11
2020-11-09,103.0,11
2020-11-10,103.0,11
2020-11-11,180.0,11
2020-11-12,103.0,11
2020-11-13,103.0,11
2020-11-14,103.0,11
2020-11-15,103.0,11
2020-11-16,103.0,11
2020-11-17,103.0,11
2020-11-18,103.0,11
2020-11-19,103.0,11
2020-11-20,75.0,11
2020-11-21,104.0,11
2020-11-22,118.0,11
2020-11-23,119.0,11
2020-11-24,77.0,11
2020-11-25,103.0,11
2020-11-26,125.0,11
2020-11-27,102.0,11
2020-11-28,118.0,11
2020-11-29,90.0,11
2020-11-30,101.0,11
2020-12-01,90.0,12
2020-12-02,108.0,12
2020-12-03,82.0,12
2020-12-04,72.0,12
2020-12-05,66.0,12
2020-12-06,46.0,12
2020-12-07,54.0,12
2020-12-08,79.0,12
2020-12-09,95.0,12
2020-12-10,69.0,12
2020-12-11,59.0,12
2020-12-12,55.0,12
2020-12-13,59.0,12
2020-12-14,58.0,12
2020-12-15,76.0,12
2020-12-16,112.0,12
2020-12-17,94.0,12
2020-12-18,101.0,12
2020-12-19,71.0,12
2020-12-20,72.0,12
2020-12-21,79.0,12
2020-12-22,86.0,12
2020-12-23,53.0,12
2020-12-24,86.0,12
2020-12-25,86.0,12
2020-12-26,86.0,12
2020-12-27,86.0,12
2020-12-28,86.0,12
2020-12-29,86.0,12
2020-12-30,89.0,12
2020-12-31,63.0,12
2021-01-01,91.0,1
2021-01-02,96.0,1
2021-01-03,71.0,1
2021-01-04,93.0,1
2021-01-05,71.0,1
2021-01-06,83.0,1
2021-01-07,69.0,1
2021-01-08,65.0,1
2021-01-09,96.0,1
2021-01-10,60.0,1
2021-01-11,94.0,1
2021-01-12,69.0,1
2021-01-13,108.0,1
2021-01-14,49.0,1
2021-01-15,99.0,1
2021-01-16,120.0,1
2021-01-17,86.0,1
2021-01-18,62.0,1
2021-01-19,100.0,1
2021-01-20,82.0,1
2021-01-21,93.0,1
2021-01-22,93.0,1
2021-01-23,128.0,1
2021-01-24,51.0,1
2021-01-25,71.0,1
2021-01-26,71.0,1
2021-01-27,8.0,1
2021-01-28,15.0,1
2021-01-29,19.0,1
2021-01-30,14.0,1
2021-01-31,16.0,1
2021-02-01,32.0,2
2021-02-02,18.0,2
2021-02-03,17.0,2
2021-02-04,9.0,2
2021-02-05,1.0,2
2021-02-06,13.0,2
2021-02-07,11.0,2
2021-02-08,10.0,2
2021-02-09,15.0,2
2021-02-10,13.0,2
2021-02-11,15.0,2
2021-02-12,16.0,2
2021-02-13,15.0,2
2021-02-14,11.0,2
2021-02-15,18.0,2
