local_datetime,weather,weather_desc,ws,hu,t
2025-05-15 07:00:00,61,Hujan Ringan,4.1,85,27
2025-05-15 10:00:00,61,Hujan Ringan,11,69,30
2025-05-15 13:00:00,61,Hujan Ringan,11,79,29
2025-05-15 16:00:00,61,Hujan Ringan,2.5,88,26
2025-05-15 19:00:00,3,Berawan,2.5,90,26
2025-05-15 22:00:00,3,Berawan,2.1,92,26
2025-05-13 19:00:00,3,Berawan,4.6,88,26
2025-05-13 22:00:00,3,Berawan,0.5,90,26
2025-05-14 01:00:00,3,Berawan,1.2,91,26
2025-05-14 04:00:00,3,Berawan,0.2,92,25
2025-05-14 07:00:00,3,Berawan,3.7,86,27
2025-05-14 10:00:00,3,Berawan,5.4,72,30
2025-05-14 13:00:00,61,Hujan Ringan,6.1,77,29
2025-05-14 16:00:00,3,Berawan,1.4,83,27
2025-05-14 19:00:00,3,Berawan,5.4,88,27
2025-05-14 22:00:00,3,Berawan,3.3,91,26
2025-05-15 01:00:00,2,Cerah Berawan,2.7,93,25
2025-05-15 04:00:00,2,Cerah Berawan,3.3,94,25
2025-05-15 07:00:00,61,Hujan Ringan,4.1,85,27
2025-05-15 10:00:00,61,Hujan Ringan,11,69,30
2025-05-15 13:00:00,61,Hujan Ringan,11,79,29
2025-05-15 16:00:00,61,Hujan Ringan,2.5,88,26
2025-05-15 19:00:00,3,Berawan,2.5,90,26
2025-05-15 22:00:00,3,Berawan,2.1,92,26
