local_datetime,weather,weather_desc,ws,hu,t
2025-05-15 23:00:00,2,Cerah Berawan,2.8,94,25
2025-05-16 02:00:00,3,Berawan,2.7,95,25
2025-05-16 05:00:00,3,Berawan,3.5,95,24
2025-05-16 08:00:00,2,Cerah Berawan,3.5,80,28
2025-05-16 11:00:00,1,Cerah,6.4,74,30
2025-05-16 14:00:00,61,Hujan Ringan,6.4,72,30
2025-05-16 17:00:00,61,Hujan Ringan,0.1,86,27
2025-05-16 20:00:00,2,Cerah Berawan,0.1,92,26
2025-05-16 23:00:00,2,Cerah Berawan,2.2,95,25
2025-05-14 11:00:00,3,Berawan,3,68,31
2025-05-14 14:00:00,61,Hujan Ringan,4.7,77,29
2025-05-14 17:00:00,1,Cerah,0.8,84,28
2025-05-14 20:00:00,1,Cerah,2,91,27
2025-05-14 23:00:00,0,Cerah,1.8,93,26
2025-05-15 02:00:00,0,Cerah,2.3,93,25
2025-05-15 05:00:00,3,Berawan,3.2,94,25
2025-05-15 08:00:00,3,Berawan,6,79,28
2025-05-15 11:00:00,1,Cerah,8.9,65,31
2025-05-15 14:00:00,61,Hujan Ringan,1.7,71,30
2025-05-15 17:00:00,2,Cerah Berawan,3.9,85,27
2025-05-15 20:00:00,2,Cerah Berawan,2,91,26
2025-05-15 23:00:00,2,Cerah Berawan,2.8,94,25
2025-05-16 02:00:00,3,Berawan,2.7,95,25
2025-05-16 05:00:00,3,Berawan,3.5,95,24
2025-05-16 08:00:00,2,Cerah Berawan,3.5,80,28
2025-05-16 11:00:00,1,Cerah,6.4,74,30
2025-05-16 14:00:00,61,Hujan Ringan,6.4,72,30
2025-05-16 17:00:00,61,Hujan Ringan,0.1,86,27
2025-05-16 20:00:00,2,Cerah Berawan,0.1,92,26
2025-05-16 23:00:00,2,Cerah Berawan,2.2,95,25
2025-05-14 13:00:00,61,Hujan Ringan,3,69,31
2025-05-14 16:00:00,2,Cerah Berawan,4.7,78,29
2025-05-14 19:00:00,1,Cerah,0.8,88,27
2025-05-14 22:00:00,0,Cerah,2,93,26
2025-05-15 01:00:00,0,Cerah,1.8,92,25
2025-05-15 04:00:00,3,Berawan,2.3,94,25
2025-05-15 07:00:00,3,Berawan,3.2,88,27
2025-05-15 10:00:00,1,Cerah,6,69,30
2025-05-15 13:00:00,61,Hujan Ringan,8.9,72,30
2025-05-15 16:00:00,3,Berawan,1.7,82,28
2025-05-15 19:00:00,2,Cerah Berawan,3.9,90,26
2025-05-15 22:00:00,2,Cerah Berawan,2,94,25
2025-05-16 01:00:00,3,Berawan,2.8,95,25
2025-05-16 04:00:00,3,Berawan,2.7,95,25
2025-05-16 07:00:00,3,Berawan,3.5,86,27
2025-05-16 10:00:00,1,Cerah,6.4,74,30
2025-05-16 13:00:00,61,Hujan Ringan,6.4,72,30
2025-05-16 16:00:00,61,Hujan Ringan,0.1,84,27
2025-05-16 19:00:00,3,Berawan,0.1,91,26
2025-05-16 22:00:00,2,Cerah Berawan,2.2,94,26
2025-05-14 14:00:00,61,Hujan Ringan,4.7,77,29
2025-05-14 17:00:00,1,Cerah,0.8,84,28
2025-05-14 20:00:00,1,Cerah,2,91,27
2025-05-14 23:00:00,0,Cerah,1.8,93,26
2025-05-15 02:00:00,0,Cerah,2.3,93,25
2025-05-15 05:00:00,3,Berawan,3.2,94,25
2025-05-15 08:00:00,3,Berawan,6,79,28
2025-05-15 11:00:00,1,Cerah,8.9,65,31
2025-05-15 14:00:00,61,Hujan Ringan,1.7,71,30
2025-05-15 17:00:00,2,Cerah Berawan,3.9,85,27
2025-05-15 20:00:00,2,Cerah Berawan,2,91,26
2025-05-15 23:00:00,2,Cerah Berawan,2.8,94,25
2025-05-16 02:00:00,3,Berawan,2.7,95,25
2025-05-16 05:00:00,3,Berawan,3.5,95,24
2025-05-16 08:00:00,2,Cerah Berawan,3.5,80,28
2025-05-16 11:00:00,1,Cerah,6.4,74,30
2025-05-16 14:00:00,61,Hujan Ringan,6.4,72,30
